# This file can be processed to set quotas
# It's format is comma separated value (CSV)
# Any line that begins with a # is ignored
# ID,Systems,Object Quota (Millions), Storage Quota (TB)
ID,SYSTEM,QUOTA_OBJECT,QUOTA_STORAGE
cestark, bmc,4,12 
cestark,fibre-data,12,18
cestark,hippocampus,70,170
medhap,rivendell,6,115
xiangmix,cncm,75,1600
xiangmix,xuisebnas,22,180
xiangmix,brain,10,130
xiangmix,xuoffice,1,2
kbeier,balbina,3,110
kbeier,csaba,3,70
kbeier,emem,3,120
kbeier,apollon,3,50
kbeier,faye,3,130
kbeier,beier1,5,360
mfrose,morandi1,3,90
lwagar,wagarlab,1,45
fmarango,f-ivm,4,14
lewell,cedar,1,60
blsemler,littlebird,1,2
mingt,chlamydia,1,10
xiangmix,cncmviruscore,1,1
xiangmix,xulabtissuecyte,14,25
xiangmix,xu160,20,44
ppapadop,laguna,1,1
rfrostig,sharat,3,15
kngreen,model-ad,4,35
xiangmix,cncm2,20,500
piomelli,piomellinas,6,2
middlebj,middlab,1,1
rcic-admin,crsp,80,1500
macharya,mmanas,1,25
rfrostig,cortex,4,20
